approach,N,train_rmse,train_mae,train_accuracy,test_rmse,test_mae,test_accuracy
Naïve Linear Regression,1,0.0,0.0,1.0,4.564602940015703,3.8114,0.1486
Naïve Linear Regression,2,0.0,0.0,1.0,3.9203798001951,3.1437999999999993,0.0643
Naïve Linear Regression,3,2.5121479338940403e-15,2.3684757858670005e-15,1.0,3.9181680085916297,3.1571134328358204,0.094
Naïve Linear Regression,4,8.881784197001252e-16,4.440892098500626e-16,1.0,7.027995371584312,5.64994994582882,0.0612
Naïve Linear Regression,5,2.1390168887322674e-15,1.5987211554602255e-15,1.0,11.77360635759723,9.63784878419453,0.0326
Naïve Linear Regression,6,4.7346380421348386e-15,3.9968028886505635e-15,1.0,13.04516879867497,10.656283050847438,0.0259
Naïve Linear Regression,7,0.7622435090327727,0.6533503886647655,0.42857142857142855,5.761715776885297,4.6494416141887225,0.0703
Naïve Linear Regression,8,1.1431002591054007,1.0255892887393814,0.0,5.239515862582519,4.198838414486581,0.0707
Naïve Linear Regression,9,1.8359525113000574,1.3905618871296899,0.2222222222222222,4.565590724324967,3.653429383786491,0.0846
Naïve Linear Regression,10,2.204187689065673,1.7392257663772415,0.2,4.75536166261897,3.782143940527809,0.0897
Naïve Linear Regression,20,2.697741277514781,2.209975448488801,0.1,4.0510892329305666,3.237272966266107,0.0964
Naïve Linear Regression,30,3.1647181891425955,2.446291335425949,0.06666666666666667,3.6334659215975664,2.913093335215999,0.109
Naïve Linear Regression,40,3.210937320211994,2.518719668834985,0.075,3.7517969959906807,2.9988203996006693,0.1091
Naïve Linear Regression,50,3.375640577254708,2.647437580136122,0.12,3.4481685747734696,2.7726422533252784,0.1154
Naïve Linear Regression,60,3.4132142231453138,2.6436274634125994,0.18333333333333332,3.4587249298713667,2.777226603230518,0.1151
Naïve Linear Regression,70,3.3514595157786373,2.599967742426271,0.18571428571428572,3.481447518406377,2.8026488373668648,0.111
Naïve Linear Regression,80,3.3392328748500555,2.5882361412965147,0.1625,3.4137570190174564,2.748198001130591,0.1156
Naïve Linear Regression,90,3.2933007346372194,2.554947789735876,0.2,3.3961105455254565,2.741780356644643,0.1138
Naïve Linear Regression,100,3.2469543939696033,2.545203111957592,0.15,3.364104276320782,2.7224119525298285,0.1127
Naïve Linear Regression,200,3.2796815702253377,2.619836116333829,0.13,3.2910216094365654,2.661782893420977,0.1177
Naïve Linear Regression,300,3.3650749336727497,2.708613358667739,0.12666666666666668,3.2700549615575314,2.6431131218497255,0.1166
Naïve Linear Regression,400,3.245994698482382,2.5895886952378295,0.125,3.2687930807712715,2.6302916653594397,0.1184
Naïve Linear Regression,500,3.2826896653201776,2.63450775640572,0.114,3.2598303404913898,2.6251471075280386,0.1193
Naïve Linear Regression,600,3.221747923263862,2.5670009412531396,0.12333333333333334,3.2613464863922097,2.6245185003730964,0.1182
Naïve Linear Regression,700,3.248751067572356,2.5849220508763486,0.12285714285714286,3.263748340388662,2.6271978341718394,0.1142
Naïve Linear Regression,800,3.215894499893039,2.557913417402219,0.12125,3.2637076587702425,2.6278085360616528,0.1161
Naïve Linear Regression,900,3.2352286551610216,2.58022868027071,0.11777777777777777,3.267447947360285,2.632108326401483,0.1158
Naïve Linear Regression,1000,3.2516509685922506,2.5869484640797333,0.128,3.2641339878588593,2.6317760545257975,0.1172
